Name,Balls,Runs,Dot,Other,4,6,not_out
RV Uthappa,3297,4411,1405,1735,1740,936,17
MJ Clarke,91,98,43,50,48,0,0
MK Pandey,2321,2843,908,1381,1012,450,22
SPD Smith,1537,2022,523,1008,720,294,18
M Manhas,463,514,197,282,172,60,15
AD Mathews,566,724,207,374,176,174,11
SC Ganguly,1230,1349,662,549,548,252,3
WD Parnell,72,63,39,41,16,6,3
B Kumar,187,183,94,97,68,18,17
G Gambhir,3329,4217,1357,1895,1968,354,16
BB McCullum,2121,2880,1025,928,1172,780,5
YK Pathan,2192,3204,872,1202,1048,954,43
JH Kallis,2182,2427,982,1143,1020,264,11
DB Das,250,304,124,116,92,96,8
LR Shukla,336,405,152,177,132,96,6
MK Tiwary,1420,1695,571,831,624,240,24
JD Ryder,444,604,200,214,276,114,1
GC Smith,652,739,320,309,376,54,3
AA Jhunjhunwala,206,217,98,111,76,30,2
Yuvraj Singh,2087,2750,976,988,868,894,15
SB Wagh,3,2,2,2,0,0,0
R Sharma,72,66,48,28,20,18,6
AC Blizzard,88,120,48,24,84,12,0
SR Tendulkar,1893,2334,874,976,1184,174,9
AT Rayudu,2572,3300,971,1468,1112,720,25
RG Sharma,3692,4898,1404,2004,1724,1170,28
TL Suman,562,676,255,300,220,156,7
KA Pollard,1819,2755,768,975,724,1056,36
A Symonds,734,974,308,432,296,246,9
Harbhajan Singh,580,829,284,261,316,252,32
PP Shaw,420,598,173,196,288,114,0
S Dhawan,3593,4579,1493,1907,2096,576,20
SS Iyer,1304,1681,542,683,596,402,6
RR Pant,1046,1736,367,564,608,564,6
CA Ingram,177,205,78,87,88,30,3
JL Denly,1,0,1,0,0,0,0
Shubman Gill,372,499,120,237,172,90,8
N Rana,796,1085,343,389,336,360,3
AD Russell,738,1400,319,296,384,720,10
KD Karthik,2755,3654,1040,1620,1428,606,27
CR Brathwaite,107,181,53,45,40,96,1
PP Chawla,506,584,245,260,216,108,28
Kuldeep Yadav,53,44,29,28,16,0,4
Mohammad Hafeez,79,64,51,24,28,12,1
BJ Hodge,1099,1400,439,654,488,258,21
DJ Hussey,1050,1322,425,602,360,360,12
WP Saha,1317,1765,515,771,640,354,19
AB Agarkar,147,179,60,97,52,30,9
SE Marsh,1817,2477,734,945,1064,468,7
JR Hopes,304,417,120,155,196,66,3
KC Sangakkara,1354,1687,552,745,780,162,3
DPMD Jayawardene,1428,1802,618,768,800,234,15
K Goel,223,218,130,96,68,54,2
IK Pathan,911,1139,372,569,348,222,29
L Ronchi,34,34,26,4,24,6,0
ST Jayasuriya,514,768,292,198,336,234,2
SM Pollock,109,147,47,51,48,48,0
DJ Bravo,1121,1483,477,653,464,366,35
AM Nayar,551,672,234,332,220,120,12
MA Khote,19,24,10,10,8,6,1
A Nehra,55,41,37,23,12,6,10
PA Patel,2285,2848,1081,1094,1460,294,10
ML Hayden,774,1107,366,359,484,264,2
MEK Hussey,1576,1977,643,873,792,312,7
SK Raina,3839,5368,1412,2232,1972,1164,28
MS Dhoni,3129,4432,1152,1990,1188,1254,65
JDP Oram,106,106,50,52,24,30,3
S Badrinath,1181,1441,493,657,616,168,18
KS Williamson,946,1302,318,594,444,264,7
AM Rahane,3088,3820,1218,1760,1616,444,16
DJM Short,98,115,48,41,44,30,0
SV Samson,1670,2209,629,995,680,534,9
BA Stokes,473,635,159,313,172,150,4
RA Tripathi,543,758,215,300,296,162,4
JC Buttler,897,1386,362,460,560,366,6
K Gowtham,82,144,33,44,40,60,5
S Gopal,116,127,49,65,56,6,5
DS Kulkarni,104,101,50,61,28,12,10
JD Unadkat,53,55,22,25,24,6,6
B Laughlin,13,5,8,5,0,0,2
YV Takawale,171,192,100,70,104,18,2
V Kohli,4062,5412,1509,2342,1924,1146,26
AB de Villiers,2846,4395,958,1695,1428,1272,32
JA Morkel,667,974,252,400,244,330,27
CA Lynn,895,1280,401,390,512,378,3
SA Yadav,1150,1544,444,622,640,282,16
R Vinay Kumar,267,310,118,172,84,54,15
Mandeep Singh,1200,1529,480,691,640,198,15
M Vohra,756,1012,358,390,388,234,2
DA Miller,1294,1850,465,824,504,522,23
Gurkeerat Singh,332,440,129,186,188,66,3
Azhar Mahmood,294,388,124,154,156,78,2
MS Gony,69,99,39,27,24,48,6
P Kumar,305,340,158,150,88,102,19
P Awana,14,5,9,5,0,0,3
DR Smith,1706,2385,832,703,980,702,4
MJ Lumb,185,278,96,62,180,36,0
NV Ojha,1290,1554,648,596,484,474,19
SR Watson,2517,3575,1125,1141,1372,1062,15
FY Fazal,167,183,74,89,88,6,1
AS Raut,167,194,67,100,52,42,7
M Vijay,2072,2587,962,1069,972,546,5
R Parag,125,160,55,62,68,30,0
AJ Turner,10,3,8,3,0,0,1
STR Binny,670,880,268,406,264,210,20
Q de Kock,1083,1456,476,512,620,324,2
HH Pandya,672,1068,273,372,288,408,24
BCJ Cutting,137,238,58,64,60,114,6
KH Pandya,599,891,236,337,344,210,11
