Year,0-6,6-12,12-16,16-20,Avg.0-6,Avg.6-12,Avg.12-16,Avg.16-20,Str.0-6,Str.6-12,Str.12-16,Str.16-20,Matches
2019,5821,5259,3993,4327,48.50833333333333,43.825,33.275,36.05833333333333,134.74537037037038,121.73611111111111,118.83928571428571,128.7797619047619,60
2018,6063,5533,3982,4323,50.525,46.108333333333334,33.18333333333333,36.025,140.34722222222223,128.07870370370372,118.51190476190474,128.66071428571428,60
2017,5895,5223,3877,3774,49.95762711864407,44.26271186440678,32.855932203389834,31.983050847457626,138.77118644067795,122.95197740112995,117.34261501210655,114.22518159806295,59
2016,5538,5327,4021,3976,46.15,44.391666666666666,33.50833333333333,33.13333333333333,128.19444444444443,123.31018518518518,119.67261904761905,118.33333333333333,60
2015,5407,5120,3749,4056,45.82203389830509,43.389830508474574,31.771186440677965,34.3728813559322,127.28342749529192,120.52730696798493,113.46852300242129,122.76029055690071,59
2014,5425,5333,3985,4166,45.208333333333336,44.44166666666667,33.208333333333336,34.71666666666667,125.57870370370372,123.44907407407408,118.60119047619048,123.98809523809524,60
2013,6322,6277,4739,5203,41.5921052631579,41.296052631578945,31.17763157894737,34.23026315789474,115.53362573099415,114.71125730994152,111.34868421052633,122.25093984962407,76
2012,6412,6365,4641,5035,43.32432432432432,43.00675675675676,31.35810810810811,34.020270270270274,120.34534534534534,119.46321321321322,111.99324324324324,121.50096525096525,74
2011,6264,6217,4380,4293,42.9041095890411,42.582191780821915,30.0,29.404109589041095,119.17808219178083,118.28386605783865,107.14285714285714,105.01467710371818,73
2010,5682,5287,3793,4102,47.35,44.05833333333333,31.608333333333334,34.18333333333333,131.52777777777777,122.38425925925924,112.88690476190477,122.08333333333331,60
2009,4933,4403,3360,3624,43.271929824561404,38.62280701754386,29.473684210526315,31.789473684210527,120.19980506822611,107.28557504873295,105.26315789473684,113.53383458646617,57
2008,5358,5271,3705,3603,46.189655172413794,45.439655172413794,31.939655172413794,31.060344827586206,128.30459770114945,126.22126436781609,114.07019704433499,110.92980295566501,58
