Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
TL Suman,7,3,5,3,0,0,True,caught,PJ Sangwan
AC Gilchrist,33,64,11,14,20,30,True,bowled,PJ Sangwan
RG Sharma,7,6,4,2,4,0,True,caught,PJ Sangwan
DB Ravi Teja,32,27,18,15,12,0,True,caught,DP Nannes
A Symonds,21,41,7,17,12,12,True,bowled,R Bhatia
DR Smith,2,1,1,1,0,0,True,bowled,R Bhatia
Y Venugopal Rao,3,1,2,1,0,0,True,caught,A Nehra
WPUJC Vaas,6,10,0,6,4,0,False,,
RP Singh,1,0,1,0,0,0,True,run out,
PP Ojha,2,0,2,0,0,0,True,bowled,R Bhatia
Shoaib Ahmed,1,0,1,0,0,0,True,caught,R Bhatia
