Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DA Warner,3,1,2,1,0,0,True,bowled,SL Malinga
V Sehwag,16,19,9,5,8,6,True,run out,
UBT Chand,2,0,2,0,0,0,True,bowled,SL Malinga
AJ Finch,12,8,8,4,4,0,True,caught,Harbhajan Singh
NV Ojha,30,29,15,15,8,6,True,caught,AG Murtaza
Y Venugopal Rao,25,26,9,14,12,0,True,bowled,SL Malinga
IK Pathan,1,0,1,0,0,0,True,run out,
RE van der Merwe,6,8,1,4,4,0,False,,
M Morkel,2,0,2,0,0,0,True,bowled,SL Malinga
UT Yadav,4,0,5,0,0,0,True,stumped,Harbhajan Singh
AB Dinda,5,0,5,0,0,0,True,caught,SL Malinga
